Inventarisnr.,,,Inv.srt,,Omschrijving,,Terminal-ID,,Straat,Thv,CBS,Wijk,Sector A,Sector B,Sector C,,Sector D,X-Coord.,Y-Coord.,Voeding,ICS,Online,Type,ESN no,Cr Callno,Sleutel,GSM,Deelgem.,Deelgem niveau,Man nr,Status,Mutdatum,Door user,Inv.status
FT199,,,FT,,Fietstrommel,,,,BESEMERSTR,4,,,,,,,,51.9333610534668,4.45989990234375,,,,,,,,,Noord,,,A,07-06-2009,Conversie,
FT2,,,FT,,Fietstrommel,,,,ESSENBURGSNGL,8,,,,,,,,51.9229316711426,4.4614200592041,,,,,,,,,Delfshaven,,,A,06-07-2010,STREPE,
FT20,,,FT,,Fietstrommel,,,,BREEWG,16,,,,,,,,51.8908996582031,4.5183801651001,,,,,,,,,Feijenoord,,,A,08-07-2011,OOMEBE,
FT200,,,FT,,Fietstrommel,,,,BYLWERFFSTR,13,,,,,,,,51.9326095581055,4.45764017105103,,,,,,,,,Noord,,,A,07-06-2009,Conversie,
FT201,,,FT,,Fietstrommel,,,,BYLWERFFSTR,33,,,,,,,,51.931999206543,4.45577001571655,,,,,,,,,Noord,,,A,07-06-2009,Conversie,
FT202,,,FT,,Fietstrommel,,,,BYLWERFFSTR,45,,,,,,,,51.9317398071289,4.45494985580444,,,,,,,,,Noord,,,A,13-07-2010,STREPE,
FT203,,,FT,,Fietstrommel,,,,VROESENLN,54,,,,,,,,51.9301300048828,4.4566798210144,,,,,,,,,Noord,,,A,13-07-2010,STREPE,
FT204,,,FT,,Fietstrommel,,,,VROESENLN,54,,,,,,,,51.9301300048828,4.45668983459473,,,,,,,,,Noord,,,A,07-06-2009,Conversie,
FT205,,,FT,,Fietstrommel,,,,J V TROYENSTR,3,,,,,,,,51.9290199279785,4.46459007263184,,,,,,,,,Noord,,,A,07-06-2009,Conversie,
FT206,,,FT,,Fietstrommel,,,,SCHEPENSTR,76,,,,,,,,51.9287185668945,4.46503019332886,,,,,,,,,Noord,,,A,07-06-2009,Conversie,
FT207,,,FT,,Fietstrommel,,,,SCHEPENSTR,80,,,,,,,,51.9285697937012,4.46482992172241,,,,,,,,,Noord,,,A,07-06-2009,Conversie,
FT208,,,FT,,Fietstrommel,,,,BLOMMERSDYKSELN,35,,,,,,,,51.9384117126465,4.48008012771606,,,,,,,,,Noord,,,A,07-06-2009,Conversie,
FT209,,,FT,,Fietstrommel,,,,J CATSSTR,27,,,,,,,,51.9339485168457,4.48253011703491,,,,,,,,,Noord,,,A,07-06-2009,Conversie,
FT21,,,FT,,Fietstrommel,,,,ZESTIENHOVENSTR,34a,,,,,,,,51.9344711303711,4.47186994552612,,,,,,,,,Noord,,,A,07-06-2009,Conversie,
FT210,,,FT,,Fietstrommel,,,,V BEUNINGENSTR,9,,,,,,,,51.9290084838867,4.45764017105103,,,,,,,,,Noord,,,A,26-04-2011,OOMEBE,
FT211,,,FT,,Fietstrommel,,,,NOBELSTR,69,,,,,,,,51.9332504272461,4.45815992355347,,,,,,,,,Noord,,,A,07-06-2009,Conversie,
FT212,,,FT,,Fietstrommel,,,,NOBELSTR,69,,,,,,,,51.9332504272461,4.45816993713379,,,,,,,,,Noord,,,A,07-06-2009,Conversie,
FT213,,,FT,,Fietstrommel,,,,BERGSELN,295,,,,,,,,51.9330787658691,4.46394014358521,,,,,,,,,Noord,,,A,13-07-2010,STREPE,
FT214,,,FT,,Fietstrommel,,,,A KUYPERLN,80,,,,,,,,51.9345092773438,4.46345996856689,,,,,,,,,Noord,,,A,30-05-2012,OOMEBE,
FT215,,,FT,,Fietstrommel,,,,HEEMSTEESTR,111,,,,,,,,51.9314193725586,4.47252988815308,,,,,,,,,Noord,,,A,13-07-2010,STREPE,
FT216,,,FT,,Fietstrommel,,,,1E PYNACKERSTR,139,,,,,,,,51.932918548584,4.48040008544922,,,,,,,,,Noord,,,A,13-07-2010,STREPE,
FT217,,,FT,,Fietstrommel,,,,BYLWERFFSTR,11,,,,,,,,51.9326515197754,4.45775985717773,,,,,,,,,Noord,,,A,07-06-2009,Conversie,
FT218,,,FT,,Fietstrommel,,,,VROESENLN,73-75,,,,,,,,51.9312896728516,4.45533990859985,,,,,,,,,Noord,,,A,13-07-2010,STREPE,
FT219,,,FT,,Fietstrommel,,,,BYLWERFFSTR,65,,,,,,,,51.9317893981934,4.45490980148315,,,,,,,,,Noord,,,A,07-06-2009,Conversie,
FT22,,,FT,,Fietstrommel,,,,OOSTMAASLN,125,,,,,,,,51.9181785583496,4.51167011260986,,,,,,,,,Kralingen/Crooswijk,,,A,07-06-2009,Conversie,
FT220,,,FT,,Fietstrommel,,,,SCHEPENSTR,108,,,,,,,,51.9275894165039,4.46354007720947,,,,,,,,,Noord,,,A,07-06-2009,Conversie,
FT221,,,FT,,Fietstrommel,,,,SCHIEKD,7,,,,,,,,51.9307899475098,4.46963977813721,,,,,,,,,Noord,,,A,07-06-2009,Conversie,
FT222,,,FT,,Fietstrommel,,,,SCHIEKD,7,,,,,,,,51.9307899475098,4.46964979171753,,,,,,,,,Noord,,,A,07-06-2009,Conversie,
FT223,,,FT,,Fietstrommel,,,,STATIONSSNGL,65,,,,,,,,51.9254112243652,4.46515989303589,,,,,,,,,Noord,,,A,07-06-2009,Conversie,
FT224,,,FT,,Fietstrommel,,,,DIERGAARDESNGL,55,,,,,,,,51.9221000671387,4.46775007247925,,,,,,,,,Centrum,,,A,07-06-2009,Conversie,
FT225,,,FT,,Fietstrommel,,,,S GRAVENDYKWAL,80,,,,,,,,51.9161109924316,4.46301984786987,,,,,,,,,Centrum,,,A,13-07-2010,STREPE,
FT226,,,FT,,Fietstrommel,,,,AEGIDIUSSTR,88,,,,,,,,51.9239883422852,4.51064014434814,,,,,,,,,Kralingen/Crooswijk,,,A,07-06-2009,Conversie,
FT227,,,FT,,Fietstrommel,,,,1E JERICHOSTR,76,,,,,,,,51.9294090270996,4.50754022598267,,,,,,,,,Kralingen/Crooswijk,,,A,07-06-2009,Conversie,
FT228,,,FT,,Fietstrommel,,,,MILLINXSTR,126,,,,,,,,51.8911514282227,4.49293994903564,,,,,,,,,Charlois,,,A,13-07-2010,STREPE,
FT229,,,FT,,Fietstrommel,,,,MYNSHERENLN,160,,,,,,,,51.8918418884277,4.48972988128662,,,,,,,,,Charlois,,,A,13-07-2010,STREPE,
FT23,,,FT,,Fietstrommel,,,,OOSTMAASLN,123,,,,,,,,51.9181709289551,4.51174020767212,,,,,,,,,Kralingen/Crooswijk,,,A,07-06-2009,Conversie,
FT230,,,FT,,Fietstrommel,,,,PR HENDRIKLN,38,,,,,,,,51.910758972168,4.4903302192688,,,,,,,,,Feijenoord,,,A,07-06-2009,Conversie,
FT231,,,FT,,Fietstrommel,,,,VD TAKSTR,118,,,,,,,,51.9138603210449,4.49666976928711,,,,,,,,,Feijenoord,,,A,07-06-2009,Conversie,
